Date,Home,Away,Group,,,,,
20-07-2023,New Zealand,Norway,A,,,,,
20-07-2023,Australia,Republic of Ireland,B,,,,,
20-07-2023,Nigeria,Canada,B,,,,,
21-07-2023,Philippines,Switzerland,A,,,,,
21-07-2023,Spain,Costa Rica,C,,,,,
21-07-2023,United States,Vietnam,E,,,,,
22-07-2023,Zambia,Japan,C,,,,,
22-07-2023,England,Haiti,D,,,,,
22-07-2023,Denmark,China PR,D,,,,,
23-07-2023,Sweden,South Africa,G,,,,,
23-07-2023,Netherlands,Portugal,E,,,,,
23-07-2023,France,Jamaica,F,,,,,
24-07-2023,Italy,Argentina,G,,,,,
24-07-2023,Germany,Morocco,H,,,,,
24-07-2023,Brazil,Panama,F,,,,,
24-07-2023,Colombia,South Korea,H,,,,,
25-07-2023,New Zealand,Philippines,A,,,,,
25-07-2023,Switzerland,Norway,A,,,,,
26-07-2023,Japan,Costa Rica,C,,,,,
26-07-2023,Spain,Zambia,C,,,,,
26-07-2023,Canada,Republic of Ireland,B,,,,,
26-07-2023,United States,Netherlands,E,,,,,
27-07-2023,Portugal,Vietnam,E,,,,,
27-07-2023,Australia,Nigeria,B,,,,,
27-07-2023,Argentina,South Africa,G,,,,,
28-07-2023,England,Denmark,D,,,,,
28-07-2023,China PR,Haiti,D,,,,,
29-07-2023,Sweden,Italy,G,,,,,
29-07-2023,France,Brazil,F,,,,,
29-07-2023,Panama,Jamaica,F,,,,,
29-07-2023,South Korea,Morocco,H,,,,,
30-07-2023,Norway,Philippines,A,,,,,
30-07-2023,Switzerland,New Zealand,A,,,,,
30-07-2023,Germany,Colombia,H,,,,,
31-07-2023,Costa Rica,Zambia,C,,,,,
31-07-2023,Japan,Spain,C,,,,,
31-07-2023,Republic of Ireland,Nigeria,B,,,,,
31-07-2023,Canada,Australia,B,,,,,
01-08-2023,Vietnam,Netherlands,E,,,,,
01-08-2023,Portugal,United States,E,,,,,
01-08-2023,Haiti,Denmark,D,,,,,
01-08-2023,China PR,England,D,,,,,
02-08-2023,South Africa,Italy,G,,,,,
02-08-2023,Argentina,Sweden,G,,,,,
02-08-2023,Jamaica,Brazil,F,,,,,
02-08-2023,Panama,France,F,,,,,
03-08-2023,South Korea,Germany,H,,,,,
03-08-2023,Morocco,Colombia,H,,,,,
